note: This is not a comprehensive list of all Taco Bells. This is a list of all locations that have a store page on tacobell.com,,,,,,,,,,,,,,
data is current as of 28 August 2017,,,,,,,,,,,,,,
storeid,name,location-name,address,city,state,zip,phone,latitude,longitude,drive-thru,open-late,delivery,breakfast,combo w/
001648,Taco Bell #001648 - 801 W Ganson Street,801 W Ganson Street,801 W Ganson Street,Jackson,MI,49202,(517) 788-9888,42.25422908,-84.42366466,yes,yes,no,yes,
001651,Taco Bell #001651 - 110 W State Street,110 W State Street,110 W State Street,Alliance,OH,44601,(330) 821-8620,40.90137312,-81.10728219,yes,yes,no,yes,
001653,Taco Bell #001653 - 8112 Telegraph Road,8112 Telegraph Road,8112 Telegraph Road,Dearborn Heights,MI,48127,(313) 278-4344,42.35000687,-83.27324107,yes,yes,no,yes,
001661,Taco Bell #001661 - 1898 New York Avenue,1898 New York Avenue,1898 New York Avenue,Huntington Station,NY,11746,(631) 427-7633,40.83681065,-73.41134787,yes,yes,no,yes,
001667,Taco Bell #001667 - 1348 N Glenstone,1348 N Glenstone,1348 N Glenstone,Springfield,MO,65802,(417) 862-2554,37.22364409,-93.26101819,yes,yes,no,yes,
001669,Taco Bell #001669 - 381 W Highway 303,381 W Highway 303,381 W Highway 303,Grand Prairie,TX,75051,(972) 263-6061,32.70913658,-97.00556783,yes,yes,no,yes,
001670,Taco Bell #001670 - 7815 Wise Avenue,7815 Wise Avenue,7815 Wise Avenue,Dundalk,MD,21222,(410) 285-3880,39.26765185,-76.49834052,yes,yes,no,yes,
001675,Taco Bell #001675 - 2290 Ashland Street,2290 Ashland Street,2290 Ashland Street,Ashland,OR,97520,(541) 201-1991,42.18515613,-122.6719299,yes,no,no,yes,
001683,Taco Bell #001683 - 3045 Covington Pike,3045 Covington Pike,3045 Covington Pike,Memphis,TN,38128,(901) 372-1234,35.20866775,-89.89520033,yes,yes,no,yes,
001684,Taco Bell #001684 - 805 E Main Street,805 E Main Street,805 E Main Street,Kent,OH,44240,(330) 678-2924,41.15403316,-81.34729154,yes,yes,no,yes,
001690,Taco Bell #001690 - 445 N Telegraph Rd.,445 N Telegraph Rd.,445 N Telegraph Rd.,Monroe,MI,48161,(734) 242-6792,41.92836961,-83.41266378,yes,yes,no,yes,
